Cultivo,Problema común,Síntomas,Consecuencias,Causa principal,"Manejo posible con fertilización, bioestimulación y enmiendas"
Banano,Sigatoka negra ,"Manchas y rayas marrones o necróticas, muerte del tejido foliar ","Reducción del área foliar fotosintética, frutos más pequeños, de menor calidad y maduración prematura",Mycosphaerella fijiensis,"Balance nutricional foliar y edafico, aplicación de bioestimulantes, fortalecimiento del tejido foliar, control químico"
Banano,Moko ,"Marchitez, amarillamiento, pudrición interna del pseudotallo","Muerte de la planta, deformación del fruto y perdida total del racimo",Ralstonia solanacearum (raza 2),"Bioestimulación con microorganismos benéficos (Bacillus subtilis), enmiendas orgánicas para mejorar estructura y microbiota."
Banano,Deficiencia de potasio,"Borde amarillento en hojas viejas, enrollamiento de hojas, puntas de hojas dobladas","Reducción del área foliar fotosintetica, reduccion en cantidad y calidad del fruto",Extracción alta sin reposición adecuada,"Fertilización potásica edáfica, aplicación foliar de K45, uso de fuentes nobles como nitrato de potasio"
Banano,Clorosis por deficiencia de magnesio,Hojas viejas con amarillamiento entre las venas,"Reducción del área foliar, reduccion del crecimiento general de la planta, perdida de calidad del fruto","PH ácido de suelo, desbalance con K","Aplicación foliar de Mg, corrección de balance catiónico en suelo"
Banano,"Deficiencia de boro, cuello de ganzo","Entorchamiento hoja bandera, punta de hojas corrugadas.","Reducción de numero de manos, frutos delgados y de mala calidad","Suelos arenosos y PH alcalino, riego deficiente (poca humedad)","Aplicación foliar de boro, aplicación edafica con ácido bórico o bórax, enmienda para bajar PH de suelo"
Banano,Toxicidad PH suelo ácido,"Amarillamiento en hojas jovenes, bordes quemados","Reducción de crecimiento radicular, deterioro en la absorcio de nutrientes. Exceso de absorcion del Aluminio toxico.","Uso excesivo de fertilizantes nitrogenados amoniacales, drenajes en mal estado","Aplicación de enmiendas calcicas para subir PH de suelo (DUNCA), incorporar materia orgánica, aplicación de Magnesio via foliar."
Banano,"Mancha de maduración, fruto explosivo, deficiencia de calcio","Bronceado marrón claro en la cáscara, especialmente en la curvatura de los dedos",En llenado del fruto se debilita la cascara y se rompe o se pigmenta a color marron ,"Deficiencia de calcio, PH ácido en suelos, suelos secos.","Fertilización con Nitrato de calcio, aplicación de DUNCA o DUNCAMAG en los ciclos de fertilizacion, aplicación foliar de ALGUICALCIO"
Banano,Nematodos,"Pudrición de raíces, hojas amarillas o secas, marchitez de la planta","Volcamiento de la planta por la debilidad del sistema radicular, plantas enanas, mala calidad de racimos","Radopholus similis (nematodo barrenador), Pratylenchus spp. (nematodos lesionadores),  Helicotylenchus multicinctus (nematodos espirales)","Fortalecer sistema radicular con uso de enraizadores, aplicación de RIZOFORM, manejo integrado y labores culturales."
Banano,Cochinilla,"Amarillamiento y secamiento de las hojas, presencia visible de cuerpos algodonosos en hojas, tallos y racimos. ","Deformaciones en la planta y frutos, altas infestaciones provocan caída prematura de hojas y reducción del tamaño de frutos",Dysmicoccus neobrevipes (cochinilla algodonosa),"Aplicación de BUGFORM PLUS, control químico."
Banano,Gusano peludo o Ceramidía,"Raspaduras en hojas, perforaciones en las hojas","Reducción del área foliar fotosintética, frutos de menor calidad. Infestación de racimos y cicatrices.",Ceramidía spp.,"Aplicación de BUGFORM PLUS, control químico."
